symbol,alias_matched,value_str,value_num,file,line,context
r_c,rc,0,0.0,Unified_Lagrangian_for_a_Vortex_String_Theory-v3.pdf,86,enforce a unit timelikeuµand covariant incompressibility∇ µuµ=0 (if desired). The
r_c,rc,1,1.0,Unified_Lagrangian_for_a_Vortex_String_Theory-v3.pdf,137,"[1] Carlos Barceló, Stefano Liberati, and Matt Visser. “Analogue Gravity”. In:Living"
r_c,rc,6,6.0,VAM-8.5-Master_Formula.pdf,202,•Proton:𝑢𝑢𝑑=6 2+62+74— chiral triple link;𝑀 𝑝within percent-level of experiment.
t_p,t[pP],10.5281,10.5281,VAM-8.5-Master_Formula.pdf,208,"gravity, and time. https://doi.org/10.5281/zenodo.15848010, 2025. Preprint."
C_e,Ce,2.327e-25,2.327e-25,VAM-8.5-Master_Formula.pdf,295,Ce 2.327e-25 2.371e-25 +1.91% +6.96%
r_c,rc,29.053507,29.053507,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,42,"æ): the tensile force limit of the æther, fixed at29.053507 N"
r_c,rc,29.053507,29.053507,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,56,"æ=29.053507 N, which limits force"
r_c,rc,2.1,2.1,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,80,2.1 Gravitational Term (Æther Geometry and Maximum Force)
r_c,rc,3,3.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,90,A density gradient exerts a force on test particles (vortices) much like gravity [VAM3].
r_c,rc,0,0.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,159,sources or sinks of swirl—regions where∇· ®𝐸𝑣≠0. For example:
r_c,rc,10,10.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,306,"(see Eq. 10), this term also reinforces the interpretation of **mass as the swirl self-energy**. By"
r_c,rc,2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,460,"𝑝2+𝑞2term, with a few-percent contribution from knot helicity."
r_c,rc,6,6.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,486,"internal topology (e.g., a6 2or7 4knot), with energy derived from its effective volume, circulation,"
r_c,rc,0,0.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,572,Thismakes𝑋0a**naturaldarkmattercandidate** withintheVAMframework. Italsohintsata
C_e,Ce,3.6,3.6,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,638,3.6 Chirality at the Knot Center and Temporal Vortex Flow
C_e,Ce,4,4.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,718,"Group IV (Carbon) Central knot with 4 swirl lobes Balanced chirality, tetravalent High bonding versatility"
r_c,rc,1,1.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,721,Figure 1: Axial spin direction along the swirl axis (time thread). Spin vectors are forced to transport according to∇𝜔.
alpha,fine-structure,18,18.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,795,"constant𝐺intermsof(18). Allalgebraemploysonlydimensionalrelations,thefine-structureconstant"
r_c,rc,2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,799,AphotonofComptonfrequency𝜈 𝑒wrapstwohalf-wavelengthhelicalarcs(𝑛=2)aroundtheelectron
r_c,rc,2010,2010.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,837,PDF [znidarsic2010] later provided the written source used here.
r_c,rc,4,4.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,843,gr=𝑐4/4𝐺[gibbons2002]. By equating thearea–weighted forces1at their characteristic
