file,equation_tex,categories
VAM_0_Einstein_to_Vortex_Fluid/figures/plot_OntologyOfMass.tex,E = mc^2,Energy/Mass
VAM_0_Einstein_to_Vortex_Fluid/figures/plot_WaveParticle.tex,\lambda = h/p,Lagrangian
VAM_0_Einstein_to_Vortex_Fluid/sections/04_ConnectionToVAM.tex,G_\text{swirl} = \frac{C_e}{2 F^{\max}_{\text{\ae}}} \cdot \left( \frac{c^5 t_p^2}{r_c^2} \right),G_swirl
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,"\frac{d\Gamma}{dt} = 0, \quad \Gamma = \oint_{\mathcal{C}} \vec{v} \cdot d\vec{\ell}",Circulation Γ
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,"S(t) = \int \omega(t) \, dt, \quad T_v \sim \Gamma^{-1}",Circulation Γ
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,\frac{d\tau}{dt} = \sqrt{1 - \frac{C_e^2}{c^2} e^{-r/r_c}},Swirl profile
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,"\boldsymbol{\omega} = \nabla \times \vec{v}, \qquad \vec{v}(r) = \frac{C_e}{r} e^{-r/r_c} \, \hat{\theta}",Swirl profile
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,"\boldsymbol{S}(t) = \int \Omega(r) \, dt = \int \frac{C_e}{r_c} e^{-r/r_c} dt",Swirl profile
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,\Gamma,Circulation Γ
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,\gamma^{-1}(v),Circulation Γ
VAM_1_TimeDilation_in_3D/VAM-1-Time_Dilation_in_3D_Superfluid_Æther_Model.tex,R\omega = v_t,Swirl profile
VAM_1_TimeDilation_in_3D/VAM-1-Time_Dilation_in_3D_Superfluid_Æther_Model.tex,v_t = R\omega,Swirl profile
VAM_1_TimeDilation_in_3D/Tijddilatatie/1-Tijdsdilatatie_in_3D_Superfluïde_Æther_Model.tex,R\omega = v_t,Swirl profile
VAM_1_TimeDilation_in_3D/Tijddilatatie/1-Tijdsdilatatie_in_3D_Superfluïde_Æther_Model.tex,v_t = R\omega,Swirl profile
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,\gamma = 1/\sqrt{1 - v^2/c^2},Circulation Γ
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,\gamma,Circulation Γ
VAM_1_TimeDilation_in_3D/Tijddilatatie/appendix_A.tex,"\langle d\tau \rangle = \left\langle \sqrt{1 - \frac{v_{\text{rel}, i}^2}{c^2}} \right\rangle dt",Energy/Mass
VAM_1_TimeDilation_in_3D/TimeDilation/4_special_relativity.tex,\gamma(\vec{x}) = \sqrt{1 - \frac{\Phi(\vec{x})}{\Phi_{\text{max}}}},Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/4_special_relativity.tex,"d\tau = \gamma(\vec{x})\, d\mathcal{N}",Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/4_special_relativity.tex,"\text{For weak fields: } \Phi \sim \frac{G M}{r}, \quad \text{For vortex curvature: } \Phi \sim \frac{\Gamma^2}{r^2}",Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/4_special_relativity.tex,\gamma = 1/\sqrt{1 - v^2/c^2},Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/4_special_relativity.tex,\gamma,Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/4_special_relativity.tex,\gamma(\vec{x}),Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/5_gravitational_time_dilation.tex,\Phi \sim \Gamma^2/r^2,Circulation Γ
VAM_1_TimeDilation_in_3D/TimeDilation/appendix_A.tex,"\langle d\tau \rangle = \left\langle \sqrt{1 - \frac{v_{\text{rel}, i}^2}{c^2}} \right\rangle dt",Energy/Mass
VAM_1_TimeDilation_in_3D/TimeDilation/appendix_C.tex,d\tau = \frac{1}{\gamma(\vec{v})} d\mathcal{N},Circulation Γ
VAM_2_Swirl_Clocks/VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.tex,\beta \Omega^2 \sim \frac{C_e^2}{r_c^2 c^2} e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/vam_enhanced.tex,\boxed{ \frac{d\tau}{d\mathcal{N}} = \sqrt{1 - \frac{\Gamma^2}{4\pi^2 r^2 c^2}} } \label{eq:gravitational-redshift},Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,\hbar = \sqrt{\frac{2 M_e F^{\text{max}}_{\text{\ae}} r_c^3}{5 \lambda_c C_e}},Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,i \hbar \frac{\partial \psi}{\partial t} = -\frac{F^{\text{max}}_{\text{\ae}} r_c^3}{5 \lambda_c C_e}\nabla^2 \psi + V\psi,Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,\sqrt{1-\frac{2GM}{rc^2}},Time-rate / dilation
VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,\sqrt{1-\frac{\Omega^2 r^2}{c^2}},Time-rate / dilation
VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,\frac{2G\mu I\Omega}{c^2 r^3},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,\fbox{ \( \frac{d\tau}{d\bar{t}} = e^{-r/r_c} \)} \quad \text{where } \Omega(r) = \frac{C_e}{r_c} e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,\label{eq:tangential_velocity} v_{\phi}(r) = \frac{\Gamma}{2\pi r} = \frac{\kappa}{r},Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,"\omega_{\text{obs}}(r) = \Omega(r) = \frac{C_e}{r_c} e^{-r/r_c}, \quad \text{and} \quad \omega_0 = \Omega(0) = \frac{C_e}{r_c}",Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,\frac{d\tau}{d\bar{t}} = e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,\Omega = \frac{C_e}{r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,\Omega(r) = \frac{C_e}{r_c} e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,v_\varphi(r) = C_e e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/01_Time_Dilation_from_Vortex_Dynamics.tex,\Gamma,Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\Gamma = \oint \vec{v} \cdot d\vec{l} = n \cdot \kappa,",Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"H = \int \vec{v} \cdot \vec{\omega} \, dV,",Helicity / v·ω
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"dS = \frac{\delta \Pi_\text{rot}}{\mathcal{T}_\omega},",Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\frac{dS}{dt} = \int_V \frac{\nabla \cdot \vec{J}_\text{vortex}}{T_\omega} \, dV,",Swirl profile; Helicity / v·ω
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\Delta V_\text{knot} = \alpha_\omega V_0 \Delta T_\omega,",Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\alpha_\omega = \frac{1}{r_c} \frac{d r_k}{d T_\omega} \sim \frac{C_e^2}{r_c k_B T_\omega},",Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\oint \frac{\vec{v} \cdot d\vec{\omega}}{\mathcal{T}_\omega} \leq 0,",Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\eta = 1 - \frac{T_C}{T_H},",Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\eta_\text{VAM} = 1 - \frac{\Omega_C^2}{\Omega_H^2},",Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,\frac{d\tau}{d\bar{t}} = e^{-r/r_c},Swirl profile
VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,T_\omega,Swirl profile
