category,file,equation_snippet
Circulation Γ,VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,"\frac{d\Gamma}{dt} = 0, \quad \Gamma = \oint_{\mathcal{C}} \vec{v} \cdot d\vec{\ell}"
Circulation Γ,VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,"S(t) = \int \omega(t) \, dt, \quad T_v \sim \Gamma^{-1}"
Circulation Γ,VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,\Gamma
Circulation Γ,VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,\gamma^{-1}(v)
Circulation Γ,VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,\gamma = 1/\sqrt{1 - v^2/c^2}
Energy/Mass,VAM_0_Einstein_to_Vortex_Fluid/figures/plot_OntologyOfMass.tex,E = mc^2
Energy/Mass,VAM_1_TimeDilation_in_3D/Tijddilatatie/appendix_A.tex,"\langle d\tau \rangle = \left\langle \sqrt{1 - \frac{v_{\text{rel}, i}^2}{c^2}} \right\rangle dt"
Energy/Mass,VAM_1_TimeDilation_in_3D/TimeDilation/appendix_A.tex,"\langle d\tau \rangle = \left\langle \sqrt{1 - \frac{v_{\text{rel}, i}^2}{c^2}} \right\rangle dt"
Energy/Mass,VAM_2_Swirl_Clocks/Swirl_Clocks/090_derevation_swirl.tex,"R_e = \frac{e^2}{4\pi \varepsilon_0 m_e c^2},"
Energy/Mass,VAM_2_Swirl_Clocks/Swirl_Clocks/090_derevation_swirl.tex,C_e = \left( \frac{m_e c^2}{\hbar} \right) \left( \frac{1}{2} \frac{e^2}{4\pi \varepsilon_0 m_e c^2} \right).
G_swirl,VAM_0_Einstein_to_Vortex_Fluid/sections/04_ConnectionToVAM.tex,G_\text{swirl} = \frac{C_e}{2 F^{\max}_{\text{\ae}}} \cdot \left( \frac{c^5 t_p^2}{r_c^2} \right)
G_swirl,VAM_2_Swirl_Clocks/Swirl_Clocks/100_derevation_Gswirl.tex,G_\text{swirl} = \frac{C_e c^3 l_p^2}{2 F_{\max} r_c^2}.
G_swirl,VAM_2_Swirl_Clocks/Swirl_Clocks/100_derevation_Gswirl.tex,G_\text{swirl} = \frac{C_e c^5 t_p^2}{2 F_{\max} r_c^2}.
G_swirl,VAM_2_Swirl_Clocks/Swirl_Clocks/100_derevation_Gswirl.tex,G_\text{swirl} = \frac{C_e c^3 l_p^2}{2 F_{\max} r_c^2}
G_swirl,VAM_2_Swirl_Clocks/Swirl_Clocks/100_derevation_Gswirl.tex,G_\text{swirl} = \frac{C_e c^5 t_p^2}{2 F_{\max} r_c^2}
Helicity / v·ω,VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"H = \int \vec{v} \cdot \vec{\omega} \, dV,"
Helicity / v·ω,VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\frac{dS}{dt} = \int_V \frac{\nabla \cdot \vec{J}_\text{vortex}}{T_\omega} \, dV,"
Helicity / v·ω,VAM_2_Swirl_Clocks/Swirl_Clocks/03_Time_Modulation_by_Vortex_Knot_Rotation.tex,"H = \int \vec{v} \cdot \vec{\omega} \, d^3x"
Helicity / v·ω,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_07_Foundations_Velocity_Fields_and_Energies.tex,"H \;=\; \int_V \mathbf{u} \cdot \boldsymbol{\omega}\, dV,\label{eq:appendix:helicity}"
Helicity / v·ω,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"H_\text{vortex} = \frac{1}{(4\pi)^2} \int_{\mathbb{R}^3} \vec{v} \cdot \vec{\omega} \, d^3x. \label{eq:helicity}"
Helicity / v·ω; Circulation Γ,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"Q_\text{top} = \frac{L}{(4\pi)^2 \Gamma^2} \int \vec{v} \cdot \vec{\omega} \, d^3x, \label{eq:qtop}"
Helicity / v·ω; Circulation Γ,VAM_2_Swirl_Clocks/WervelKlokken/appendix_09_TopologischeLading.tex,"Q_\text{top} = \frac{L}{(4\pi)^2 \Gamma^2} \int \vec{v} \cdot \vec{\omega} \, d^3x, \label{eq:qtop}"
Helicity / v·ω; Lagrangian,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_07_Foundations_Velocity_Fields_and_Energies.tex,"H \;=\; \int_V \mathbf{u} \cdot \boldsymbol{\omega}\, dV,\label{eq:appendix:helicity}"
Helicity / v·ω; Lagrangian,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"H_\text{vortex} = \frac{1}{(4\pi)^2} \int_{\mathbb{R}^3} \vec{v} \cdot \vec{\omega} \, d^3x. \label{eq:helicity}"
Helicity / v·ω; Lagrangian,VAM_2_Swirl_Clocks/WervelKlokken/02_tijdsmodulatie_door_vortex_knoop_rotatie.tex,"H = \int \vec{v} \cdot \vec{\omega} \, d^3x \label{eq:helicity_rotation}"
