category,file,postulate
Absolute time / preferred foliation,VAM_3_Benchmarking_Relativity/3-Benchmarking_Vortex_Æther_Model_vs_General_Relativity.bib," @misc{iskandarani2025swirl, author = {Omar Iskandarani}, title = {Swirl Clocks and Vorticity-Induced Gravity: Reformulating Relativity in a Structured Vortex Æther}, year = {2025}, month = may, note = {Independent Researcher, Groningen, The Netherlands}, howpublished = { }, url = {https://github.com/bg-omar/VAM/releases}, keywords = {vorticity, vortex knot, æther, time dilation, gravitational ana"
Absolute time / preferred foliation,VAM_4_General_Relativity_from_Structured_Swirl/VAM-4-EmergentGeneralRelativityFromStructuredSwirlDynamicsInVAM.tex," {Emergent General Relativity from Structured Swirl Dynamics in the Vortex Æther Model (VAM)} {10.5281/zenodo.15712578} {Theorem}[section] [theorem]{Lemma} % === Title page === We present a unified derivation showing that both Special and General Relativity emerge as effective limiting behaviors of the Vortex Æther Model (VAM), a fluid-dynamic theory with absolute time and Euclidean space."
Absolute time / preferred foliation,VAM_3_Benchmarking_Relativity/sections/15_conclusion.tex,"By replacing geometry with vorticity-induced pressure gradients, VAM explains gravitational dynamics in a flat 3D space with absolute time and structured æther."
Absolute time / preferred foliation,VAM_2_Swirl_Clocks/vam_enhanced.tex," { }{ }{1em}{} We present a unified derivation showing that both Special and General Relativity emerge as effective limiting behaviors of the Vortex Æther Model (VAM), a fluid-dynamic theory with absolute time and Euclidean space."
Absolute time / preferred foliation,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_F_LorentzInvariance.tex," We formally prove that the Vortex Æther Model (VAM), a fluid-dynamic theory with absolute time and Euclidean space, reproduces the Lorentz-invariant observables of Special Relativity in the low-vorticity limit."
Euclidean space,VAM_2_Swirl_Clocks/vam_enhanced.tex," { }{ }{1em}{} We present a unified derivation showing that both Special and General Relativity emerge as effective limiting behaviors of the Vortex Æther Model (VAM), a fluid-dynamic theory with absolute time and Euclidean space."
Euclidean space,VAM_2_Swirl_Clocks/Swirl_Clocks/05_Kerr-Like_Time_Adjustment_from_Vorticity_and_Circulation.tex,"In VAM, however, these effects arise exclusively from the internal dynamics of the æther flow, under flat 3D Euclidean geometry and absolute time."
Euclidean space,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_F_LorentzInvariance.tex," We formally prove that the Vortex Æther Model (VAM), a fluid-dynamic theory with absolute time and Euclidean space, reproduces the Lorentz-invariant observables of Special Relativity in the low-vorticity limit."
Euclidean space,VAM_3_Benchmarking_Relativity/sections/15_conclusion.tex,"By replacing geometry with vorticity-induced pressure gradients, VAM explains gravitational dynamics in a flat 3D space with absolute time and structured æther."
Euclidean space,VAM_4_General_Relativity_from_Structured_Swirl/VAM-4-EmergentGeneralRelativityFromStructuredSwirlDynamicsInVAM.tex," {Emergent General Relativity from Structured Swirl Dynamics in the Vortex Æther Model (VAM)} {10.5281/zenodo.15712578} {Theorem}[section] [theorem]{Lemma} % === Title page === We present a unified derivation showing that both Special and General Relativity emerge as effective limiting behaviors of the Vortex Æther Model (VAM), a fluid-dynamic theory with absolute time and Euclidean space."
