Species,Predicted mass (kg),Ref mass (kg),% Error
H,2.6187558792621518e-27,1.6735576934604897e-27,56.48% 🔴🡅
He,1.0750058276208975e-26,6.646476991348174e-27,61.74% 🔴🡅
Li,1.88813606731558e-26,1.1524141126186498e-26,63.84% 🔴🡅
Be,2.4256389811260286e-26,1.496511018118414e-26,62.09% 🔴🡅
B,2.9631418949364774e-26,1.7950427316149283e-26,65.07% 🔴🡅
C,3.2250174828626934e-26,1.994473473582507e-26,61.70% 🔴🡅
N,3.7625203966731416e-26,2.325867255218392e-26,61.77% 🔴🡅
O,4.30002331048359e-26,2.656696453571437e-26,61.86% 🔴🡅
F,5.1131535501782726e-26,3.154692119816874e-26,62.08% 🔴🡅
Ne,5.375029138104487e-26,3.3509678375568226e-26,60.40% 🔴🡅
Na,6.18815937779917e-26,3.817540956980222e-26,62.10% 🔴🡅
Mg,6.450034965725387e-26,4.035940202766034e-26,59.81% 🔴🡅
Al,7.263165205420068e-26,4.480389877170523e-26,62.11% 🔴🡅
Si,7.525040793346283e-26,4.663623970157749e-26,61.36% 🔴🡅
P,8.338171033040965e-26,5.1433141858344745e-26,62.12% 🔴🡅
S,8.60004662096718e-26,5.323688249359353e-26,61.54% 🔴🡅
Cl,9.413176860661863e-26,5.886610993131287e-26,59.91% 🔴🡅
Ar,1.0777561752125012e-25,6.633521465546083e-26,62.47% 🔴🡅
K,1.048818268828276e-25,6.492425461008321e-26,61.54% 🔴🡅
Ca,1.0750058276208974e-25,6.655108473419344e-26,61.53% 🔴🡅
Sc,1.2114443167672126e-25,7.464953376480028e-26,62.28% 🔴🡅
Ti,1.292757340736681e-25,7.948502352841052e-26,62.64% 🔴🡅
V,1.374070364706149e-25,8.45911811599701e-26,62.44% 🔴🡅
Cr,1.4002579234987707e-25,8.634138933677134e-26,62.18% 🔴🡅
Mn,1.4815709474682388e-25,9.122669527239679e-26,62.41% 🔴🡅
Fe,1.5077585062608602e-25,9.273280420632346e-26,62.59% 🔴🡅
Co,1.5890715302303286e-25,9.786054884575631e-26,62.38% 🔴🡅
Ni,1.587696356434527e-25,9.746201946963458e-26,62.90% 🔴🡅
Cu,1.7241348455808417e-25,1.0552061556262928e-25,63.39% 🔴🡅
Zn,1.7503224043734633e-25,1.0856604421182608e-25,61.22% 🔴🡅
Ga,1.8867608935197781e-25,1.1577776538056212e-25,62.96% 🔴🡅
Ge,1.9680739174892462e-25,1.2060495244883648e-25,63.18% 🔴🡅
As,2.0218242088702914e-25,1.2441090799079895e-25,62.51% 🔴🡅
Se,2.130699965428183e-25,1.3113443067378584e-25,62.48% 🔴🡅
Br,2.1568875242208043e-25,1.3268371362345906e-25,62.56% 🔴🡅
Kr,2.2657632807786958e-25,1.3914985275103401e-25,62.83% 🔴🡅
Rb,2.2919508395713174e-25,1.4192295299321434e-25,61.49% 🔴🡅
Sr,2.3732638635407857e-25,1.4549643306577245e-25,63.11% 🔴🡅
Y,2.3994514223334074e-25,1.4763188630615803e-25,62.53% 🔴🡅
