Species,Predicted mass (kg),Ref mass (kg),% Error
H,1.65731742327112e-27,1.6735576934604897e-27,-0.97% 🩷🡇
He,6.753573664719991e-27,6.646476991348174e-27,1.61% 🟢🡅
Li,1.1849829906168862e-26,1.1524141126186498e-26,2.83% 🟡🡅
Be,1.5226616738528858e-26,1.496511018118414e-26,1.75% 🟢🡅
B,1.8603403570888855e-26,1.7950427316149283e-26,3.64% 🟡🡅
C,2.0260720994159972e-26,1.994473473582507e-26,1.58% 🟢🡅
N,2.363750782651997e-26,2.325867255218392e-26,1.63% 🟢🡅
O,2.7014294658879963e-26,2.656696453571437e-26,1.68% 🟢🡅
F,3.211055090032884e-26,3.154692119816874e-26,1.79% 🟢🡅
Ne,3.3767868323599957e-26,3.3509678375568226e-26,0.77% 🩷🡅
Na,3.886412456504883e-26,3.817540956980222e-26,1.80% 🟢🡅
Mg,4.0521441988319945e-26,4.035940202766034e-26,0.40% 🩷🡅
Al,4.561769822976882e-26,4.480389877170523e-26,1.82% 🟢🡅
Si,4.727501565303994e-26,4.663623970157749e-26,1.37% 🟢🡅
P,5.237127189448882e-26,5.1433141858344745e-26,1.82% 🟢🡅
S,5.402858931775993e-26,5.323688249359353e-26,1.49% 🟢🡅
Cl,5.91248455592088e-26,5.886610993131287e-26,0.44% 🩷🡅
Ar,6.766004061883544e-26,6.633521465546083e-26,2.00% 🟢🡅
K,6.587841922392879e-26,6.492425461008321e-26,1.47% 🟢🡅
Ca,6.753573664719991e-26,6.655108473419344e-26,1.48% 🟢🡅
Sc,7.607093170682653e-26,7.464953376480028e-26,1.90% 🟢🡅
Ti,8.116718794827541e-26,7.948502352841052e-26,2.12% 🟢🡅
V,8.626344418972428e-26,8.45911811599701e-26,1.98% 🟢🡅
Cr,8.792076161299539e-26,8.634138933677134e-26,1.83% 🟢🡅
Mn,9.301701785444428e-26,9.122669527239679e-26,1.96% 🟢🡅
Fe,9.467433527771539e-26,9.273280420632346e-26,2.09% 🟢🡅
Co,9.977059151916426e-26,9.786054884575631e-26,1.95% 🟢🡅
Ni,9.97084395333465e-26,9.746201946963458e-26,2.30% 🟢🡅
Cu,1.0824363459297313e-25,1.0552061556262928e-25,2.58% 🟡🡅
Zn,1.0990095201624425e-25,1.0856604421182608e-25,1.23% 🟢🡅
Ga,1.1843614707587088e-25,1.1577776538056212e-25,2.30% 🟢🡅
Ge,1.2353240331731975e-25,1.2060495244883648e-25,2.43% 🟢🡅
As,1.2690919014967976e-25,1.2441090799079895e-25,2.01% 🟢🡅
Se,1.3372491580021747e-25,1.3113443067378584e-25,1.98% 🟢🡅
Br,1.3538223322348862e-25,1.3268371362345906e-25,2.03% 🟢🡅
Kr,1.4219795887402635e-25,1.3914985275103401e-25,2.19% 🟢🡅
Rb,1.4385527629729745e-25,1.4192295299321434e-25,1.36% 🟢🡅
