Object,Actual Mass (kg),Predicted Mass (kg),% Error
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.67262192369e-27,0.000% 🩷️
Neutron,1.67492749804e-27,1.6749274980400004e-27,0.000% 🩷️
H,1.6735576934604897e-27,1.67353286206015e-27,-0.001% 🩷️
He,6.646476991348174e-27,6.696920720200301e-27,0.76% ❤️🡅
Li,1.1524141126186498e-26,1.1720308578340452e-26,1.70% 🟢🡅
Be,1.496511018118414e-26,1.50687689384406e-26,0.69% ❤️🡅
B,1.7950427316149283e-26,1.841722929854075e-26,2.60% 🟡🡅
C,1.994473473582507e-26,2.0090762160600904e-26,0.73% ❤️🡅
N,2.325867255218392e-26,2.3439222520701055e-26,0.78% ❤️🡅
O,2.656696453571437e-26,2.6787682880801204e-26,0.83% ❤️🡅
F,3.154692119816874e-26,3.1811070738941355e-26,0.84% ❤️🡅
Ne,3.3509678375568226e-26,3.34846036010015e-26,-0.07% ❤️🡇
Na,3.817540956980222e-26,3.8507991459141657e-26,0.87% ❤️🡅
Mg,4.035940202766034e-26,4.018152432120181e-26,-0.44% ❤️🡇
Al,4.480389877170523e-26,4.520491217934196e-26,0.90% ❤️🡅
Si,4.663623970157749e-26,4.687844504140211e-26,0.52% ❤️🡅
P,5.1433141858344745e-26,5.190183289954226e-26,0.91% ❤️🡅
S,5.323688249359353e-26,5.357536576160241e-26,0.64% ❤️🡅
Cl,5.886610993131287e-26,5.859875361974255e-26,-0.45% ❤️🡇
Ar,6.633521465546083e-26,6.697199647396271e-26,0.96% ❤️🡅
K,6.492425461008321e-26,6.529567433994286e-26,0.57% ❤️🡅
Ca,6.655108473419344e-26,6.6969207202003e-26,0.63% ❤️🡅
Sc,7.464953376480028e-26,7.534245005622316e-26,0.93% ❤️🡅
Ti,7.948502352841052e-26,8.036583791436332e-26,1.11% 🟢🡅
V,8.45911811599701e-26,8.538922577250346e-26,0.94% ❤️🡅
Cr,8.634138933677134e-26,8.706275863456362e-26,0.84% ❤️🡅
Mn,9.122669527239679e-26,9.208614649270377e-26,0.94% ❤️🡅
Fe,9.273280420632346e-26,9.375967935476392e-26,1.11% 🟢🡅
Co,9.786054884575631e-26,9.878306721290406e-26,0.94% ❤️🡅
Ni,9.746201946963458e-26,9.878167257692421e-26,1.35% 🟢🡅
Cu,1.0552061556262928e-25,1.0715491543114436e-25,1.55% 🟢🡅
Zn,1.0856604421182608e-25,1.0882844829320453e-25,0.24% ❤️🡅
Ga,1.1577776538056212e-25,1.1720169114742468e-25,1.23% 🟢🡅
Ge,1.2060495244883648e-25,1.222250790055648e-25,1.34% 🟢🡅
As,1.2441090799079895e-25,1.2557353936566497e-25,0.93% ❤️🡅
Se,1.3113443067378584e-25,1.3227185472184512e-25,0.87% ❤️🡅
Br,1.3268371362345906e-25,1.3394538758390526e-25,0.95% ❤️🡅
Kr,1.3914985275103401e-25,1.4064370294008542e-25,1.07% 🟢🡅
Rb,1.4192295299321434e-25,1.4231723580214558e-25,0.28% ❤️🡅
Sr,1.4549643306577245e-25,1.4734062366028574e-25,1.27% 🟢🡅
Y,1.4763188630615803e-25,1.4901415652234588e-25,0.94% ❤️🡅
Zr,1.51481015863867e-25,1.5236261688244601e-25,0.58% ❤️🡅
Nb,1.542740425748534e-25,1.5571107724254617e-25,0.93% ❤️🡅
Mo,1.593287234953306e-25,1.6073446510068633e-25,0.88% ❤️🡅
Tc,1.6273282858303698e-25,1.6408292546078647e-25,0.83% ❤️🡅
Ru,1.6783068351926068e-25,1.6910631331892662e-25,0.76% ❤️🡅
Rh,1.7088607540286058e-25,1.7245477367902678e-25,0.92% ❤️🡅
Pd,1.7671456752864078e-25,1.7747816153716694e-25,0.43% ❤️🡅
Ag,1.7912234917604285e-25,1.8082662189726708e-25,0.95% ❤️🡅
