Object,Actual Mass (kg),Predicted Mass (kg),% Error,Predicted Mass (kg) [CANON],% Error [CANON],Predicted Mass (kg) [Sector Norm],% Error [Sector Norm],Predicted Mass (kg) [Exact Closure],% Error [Exact Closure]
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.67262192369e-27,0.000% 🩷️,1.6204011882387627e-27,-3.12% 🟡🡇,1.67262192369e-27,0.000% 🩷️,1.67262192369e-27,0.000% 🩷️
Neutron,1.67492749804e-27,1.6749274980400004e-27,0.000% 🩷️,1.6820933140661992e-27,0.43% ❤️🡅,1.736302204182863e-27,3.66% 🟡🡅,1.6749274980400004e-27,0.000% 🩷️
H,1.6735576934604897e-27,1.67353286206015e-27,-0.001% 🩷️,1.6213121266089127e-27,-3.12% 🟡🡇,1.67353286206015e-27,-0.001% 🩷️,1.67353286206015e-27,-0.001% 🩷️
He,6.646476991348174e-27,6.696920720200301e-27,0.76% ❤️🡅,6.606810881350224e-27,-0.60% ❤️🡇,6.819670132486025e-27,2.61% 🟡🡅,6.696920720200301e-27,0.76% ❤️🡅
Li,1.1524141126186498e-26,1.1720308578340452e-26,1.70% 🟢🡅,1.1592309636091535e-26,0.59% ❤️🡅,1.1965807402911902e-26,3.83% 🟡🡅,1.1720308578340452e-26,1.70% 🟢🡅
Be,1.496511018118414e-26,1.50687689384406e-26,0.69% ❤️🡅,1.4895715076766648e-26,-0.46% ❤️🡇,1.5375642469154914e-26,2.74% 🟡🡅,1.50687689384406e-26,0.69% ❤️🡅
B,1.7950427316149283e-26,1.841722929854075e-26,2.60% 🟡🡅,1.819912051744176e-26,1.39% 🟢🡅,1.8785477535397927e-26,4.65% 🟡🡅,1.841722929854075e-26,2.60% 🟡🡅
C,1.994473473582507e-26,2.0090762160600904e-26,0.73% ❤️🡅,1.982043264405067e-26,-0.62% ❤️🡇,2.045901039745808e-26,2.58% 🟡🡅,2.0090762160600904e-26,0.73% ❤️🡅
N,2.325867255218392e-26,2.3439222520701055e-26,0.78% ❤️🡅,2.3123838084725781e-26,-0.58% ❤️🡇,2.3868845463701092e-26,2.62% 🟡🡅,2.3439222520701055e-26,0.78% ❤️🡅
