Particle,Predicted Mass (kg),Actual Mass (kg),% Error
Electron,9.743560176600373e-31,9.1093837015e-31,6.96% 🟡🡅
Up quark,1.36473570424674e-27,—,—
Down quark,1.1716376354932018e-27,—,—
Proton,1.65640648490097e-27,1.67262192369e-27,-0.97% 🩷🡇
Neutron,1.7194694090888757e-27,1.67492749804e-27,2.66% 🟡🡅
H,1.65738084091863e-27,1.6735576934604897e-27,-0.97% 🩷🡇
He,6.753700500015012e-27,6.646476991348174e-27,1.61% 🟢🡅
Li,1.1850020159111393e-26,1.1524141126186498e-26,2.83% 🟡🡅
Be,1.52268704091189e-26,1.496511018118414e-26,1.75% 🟢🡅
B,1.8603720659126407e-26,1.7950427316149283e-26,3.64% 🟡🡅
C,2.0261101500045035e-26,1.994473473582507e-26,1.59% 🟢🡅
N,2.363795175005254e-26,2.325867255218392e-26,1.63% 🟢🡅
O,2.701480200006005e-26,2.656696453571437e-26,1.69% 🟢🡅
F,3.211112165915643e-26,3.154692119816874e-26,1.79% 🟢🡅
Ne,3.376850250007506e-26,3.3509678375568226e-26,0.77% 🩷🡅
Na,3.886482215917144e-26,3.817540956980222e-26,1.81% 🟢🡅
Mg,4.052220300009007e-26,4.035940202766034e-26,0.40% 🩷🡅
Al,4.5618522659186446e-26,4.480389877170523e-26,1.82% 🟢🡅
Si,4.727590350010508e-26,4.663623970157749e-26,1.37% 🟢🡅
P,5.237222315920147e-26,5.1433141858344745e-26,1.83% 🟢🡅
S,5.40296040001201e-26,5.323688249359353e-26,1.49% 🟢🡅
Cl,5.912592365921647e-26,5.886610993131287e-26,0.44% 🩷🡅
Ar,6.766118213649061e-26,6.633521465546083e-26,2.00% 🟢🡅
K,6.587962415923148e-26,6.492425461008321e-26,1.47% 🟢🡅
Ca,6.753700500015012e-26,6.655108473419344e-26,1.48% 🟢🡅
Sc,7.607226347742423e-26,7.464953376480028e-26,1.91% 🟢🡅
Ti,8.116858313652063e-26,7.948502352841052e-26,2.12% 🟢🡅
V,8.626490279561701e-26,8.45911811599701e-26,1.98% 🟢🡅
Cr,8.792228363653564e-26,8.634138933677134e-26,1.83% 🟢🡅
Mn,9.301860329563203e-26,9.122669527239679e-26,1.96% 🟢🡅
Fe,9.467598413655064e-26,9.273280420632346e-26,2.10% 🟢🡅
Co,9.977230379564704e-26,9.786054884575631e-26,1.95% 🟢🡅
Ni,9.971021522747679e-26,9.746201946963458e-26,2.31% 🟢🡅
Cu,1.0824547370475093e-25,1.0552061556262928e-25,2.58% 🟡🡅
Zn,1.0990285454566955e-25,1.0856604421182608e-25,1.23% 🟢🡅
Ga,1.184381130229437e-25,1.1577776538056212e-25,2.30% 🟢🡅
Ge,1.2353443268204009e-25,1.2060495244883648e-25,2.43% 🟢🡅
As,1.269112829320476e-25,1.2441090799079895e-25,2.01% 🟢🡅
Se,1.337270720002328e-25,1.3113443067378584e-25,1.98% 🟢🡅
Br,1.3538445284115145e-25,1.3268371362345906e-25,2.04% 🟢🡅
Kr,1.422002419093367e-25,1.3914985275103401e-25,2.19% 🟢🡅
Rb,1.4385762275025533e-25,1.4192295299321434e-25,1.36% 🟢🡅
Sr,1.4895394240935172e-25,1.4549643306577245e-25,2.38% 🟢🡅
Y,1.5061132325027036e-25,1.4763188630615803e-25,2.02% 🟢🡅
Zr,1.5398817350027787e-25,1.51481015863867e-25,1.66% 🟢🡅
Nb,1.5736502375028538e-25,1.542740425748534e-25,2.00% 🟢🡅
Mo,1.6246134340938175e-25,1.593287234953306e-25,1.97% 🟢🡅
