Name,Actual Mass (kg),VAM Master,% Diff Master,% Diff 0,% Diff,% Diff 1,% Diff 2,% Diff 3,% Diff 4,VAM Mass 0,VAM Mass 1,VAM Mass 2,VAM Mass 3,VAM Mass 4,R_x (m)
H,1.6735576934604897e-27,1.6573086663988033e-27,-0.97% 🩷🡇,15.86% 🟠🡅,-12.84% 🟠🡇,9.07% 🟡🡅,-12.84% 🟠🡇,-24.51% 🟠🡇,2175627.25% 🔴🡅,1.9389912147790776e-27,1.8253890471094876e-27,1.4586385881594777e-27,1.2633656728469607e-27,3.641205074225516e-23,0.0
He,6.646476991348174e-27,6.753556150975359e-27,1.61% 🟢🡅,-5.20% 🟡🡇,-32.49% 🔴🡇,-16.47% 🟠🡇,-32.49% 🔴🡇,-71.08% 🔴🡇,821659.80% 🔴🡅,6.300815910052896e-27,5.551537605531863e-27,4.4871613898973085e-27,1.9220875912318284e-27,5.461807611338273e-23,2.645885805635754e-11
Li,1.1524141126186498e-26,1.1849803635551912e-26,2.83% 🟡🡅,-6.05% 🟡🡇,-34.33% 🔴🡇,-19.25% 🟠🡇,-34.33% 🔴🡇,-79.73% 🔴🡇,676964.11% 🔴🡅,1.0826886879025695e-26,9.30533782968147e-27,7.568055592157593e-27,2.3362098837492554e-27,7.802582301911821e-23,3.0238694921551477e-11
Be,1.496511018118414e-26,1.5226581711039594e-26,1.75% 🟢🡅,-4.68% 🟡🡇,-33.85% 🔴🡇,-18.94% 🟠🡇,-33.85% 🔴🡇,-82.74% 🔴🡇,702804.07% 🔴🡅,1.4264998565481128e-26,1.2130351999381519e-26,9.89928374603234e-27,2.58246440824807e-27,1.0519036881095934e-22,2.939873117373059e-11
B,1.7950427316149283e-26,1.8603359786527272e-26,3.64% 🟡🡅,-1.15% 🟢🡇,-31.79% 🔴🡇,-16.65% 🟠🡇,-31.79% 🔴🡇,-84.43% 🔴🡇,737528.44% 🔴🡅,1.7743688694832454e-26,1.4961126738581597e-26,1.2243623395140145e-26,2.7956239509598864e-27,1.3240745724456422e-22,2.8864208788753676e-11
C,1.994473473582507e-26,2.0260668452926072e-26,1.58% 🟢🡅,0.54% 🩷🡅,-30.75% 🔴🡇,-15.51% 🟠🡇,-30.75% 🔴🡇,-85.34% 🔴🡇,821441.28% 🔴🡅,2.0052755501293616e-26,1.6850866807392668e-26,1.3812588713075118e-26,2.92426871156163e-27,1.6385422834014822e-22,2.6458858056357536e-11
N,2.325867255218392e-26,2.3637446528413753e-26,1.63% 🟢🡅,1.40% 🟢🡅,-30.46% 🔴🡇,-15.35% 🟠🡇,-30.46% 🔴🡇,-86.66% 🔴🡇,821801.02% 🔴🡅,2.3583186410956376e-26,1.9688659573001968e-26,1.6173869800303623e-26,3.101620623272347e-27,1.911632663968396e-22,2.645885805635754e-11
O,2.656696453571437e-26,2.7014224603901435e-26,1.68% 🟢🡅,2.15% 🟢🡅,-30.20% 🔴🡇,-15.20% 🟠🡇,-30.20% 🔴🡇,-87.71% 🔴🡇,822245.75% 🔴🡅,2.713863270307423e-26,2.2529706921820395e-26,1.8543412950919394e-26,3.263920923718875e-27,2.1847230445353094e-22,2.645885805635754e-11
F,3.154692119816874e-26,3.211047208847799e-26,1.79% 🟢🡅,1.25% 🟢🡅,-31.17% 🔴🡇,-16.56% 🟠🡇,-31.17% 🔴🡇,-89.03% 🔴🡇,765329.33% 🔴🡅,3.1941639709874806e-26,2.632202192453305e-26,2.1713974615761022e-26,3.461872163016931e-27,2.4146938913285003e-22,2.785142953300794e-11
Ne,3.3509678375568226e-26,3.376778075487679e-26,0.77% 🩷🡅,2.40% 🟢🡅,-30.46% 🔴🡇,-15.79% 🟠🡇,-30.46% 🔴🡇,-89.39% 🔴🡇,814859.72% 🔴🡅,3.431269692591237e-26,2.8219763620754496e-26,2.330353602315815e-26,3.554315369317104e-27,2.730903805669137e-22,2.6458858056357542e-11
Na,3.817540956980222e-26,3.8864028239453344e-26,1.80% 🟢🡅,2.59% 🟡🡅,-30.61% 🔴🡇,-16.13% 🟠🡇,-30.61% 🔴🡇,-90.23% 🔴🡇,775388.22% 🔴🡅,3.91641403046951e-26,3.20180072714195e-26,2.649032839563137e-26,3.728367717799719e-27,2.9604580386094417e-22,2.7609243189242647e-11
Mg,4.035940202766034e-26,4.0521336905852144e-26,0.40% 🩷🡅,2.97% 🟡🡅,-30.41% 🔴🡇,-15.96% 🟠🡇,-30.41% 🔴🡇,-90.56% 🔴🡇,811875.50% 🔴🡅,4.155703779973423e-26,3.3918377853878794e-26,2.808726605313886e-26,3.810662658199103e-27,3.2770845668029645e-22,2.6458858056357536e-11
Al,4.480389877170523e-26,4.56175843904287e-26,1.82% 🟢🡅,3.67% 🟡🡅,-30.17% 🔴🡇,-15.81% 🟠🡇,-30.17% 🔴🡇,-91.15% 🔴🡇,782498.33% 🔴🡅,4.644854276981443e-26,3.772134596653441e-26,3.1287608402615564e-26,3.967147156327662e-27,3.5063456270319783e-22,2.7438815762148557e-11
Si,4.663623970157749e-26,4.7274893056827507e-26,1.37% 🟢🡅,4.77% 🟡🡅,-29.47% 🔴🡇,-15.04% 🟠🡇,-29.47% 🔴🡇,-91.33% 🔴🡇,819705.66% 🔴🡅,4.885982075191758e-26,3.962385320315301e-26,3.289080371621134e-26,4.0417728515422256e-27,3.823265327936792e-22,2.645885805635754e-11
P,5.1433141858344745e-26,5.237114054140406e-26,1.82% 🟢🡅,4.57% 🟡🡅,-29.81% 🔴🡇,-15.56% 🟠🡇,-29.81% 🔴🡇,-91.86% 🔴🡇,787778.93% 🔴🡅,5.378548794912021e-26,4.34307225665533e-26,3.610279110805034e-26,4.1846854825905646e-27,4.0523088729283974e-22,2.7312369606562617e-11
