Object,Actual Mass (kg),Predicted Mass (kg),% Error,Predicted Mass (kg) [CANON],% Error [CANON],Predicted Mass (kg) [Sector Norm],% Error [Sector Norm]
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.67262192369e-27,0.000% 🩷️,2.913315853290683e-52,-100.00% 🔴🡇,1.67262192369e-27,0.000% 🩷️
Neutron,1.67492749804e-27,1.67492749804e-27,0.000% 🩷️,3.0242319952318187e-52,-100.00% 🔴🡇,1.7363022041828634e-27,3.66% 🟡🡅
H,1.6735576934604897e-27,1.67353286206015e-27,-0.001% 🩷️,9.1093837015e-31,-99.95% 🔴🡇,1.67353286206015e-27,-0.001% 🩷️
He,6.646476991348174e-27,6.6969207202003e-27,0.76% ❤️🡅,1.8218767403e-30,-99.97% 🔴🡇,6.819670132486026e-27,2.61% 🟡🡅
Li,1.1524141126186498e-26,1.172030857834045e-26,1.70% 🟢🡅,2.7328151104500004e-30,-99.98% 🔴🡇,1.1965807402911904e-26,3.83% 🟡🡅
Be,1.496511018118414e-26,1.50687689384406e-26,0.69% ❤️🡅,3.6437534806e-30,-99.98% 🔴🡇,1.5375642469154917e-26,2.74% 🟡🡅
B,1.7950427316149283e-26,1.841722929854075e-26,2.60% 🟡🡅,4.55469185075e-30,-99.97% 🔴🡇,1.878547753539793e-26,4.65% 🟡🡅
C,1.994473473582507e-26,2.00907621606009e-26,0.73% ❤️🡅,5.465630220900001e-30,-99.97% 🔴🡇,2.0459010397458082e-26,2.58% 🟡🡅
N,2.325867255218392e-26,2.343922252070105e-26,0.78% ❤️🡅,6.37656859105e-30,-99.97% 🔴🡇,2.3868845463701095e-26,2.62% 🟡🡅
O,2.656696453571437e-26,2.67876828808012e-26,0.83% ❤️🡅,7.2875069612e-30,-99.97% 🔴🡇,2.7278680529944105e-26,2.68% 🟡🡅
F,3.154692119816874e-26,3.181107073894135e-26,0.84% ❤️🡅,8.198445331350001e-30,-99.97% 🔴🡇,3.2424817800369985e-26,2.78% 🟡🡅
Ne,3.3509678375568226e-26,3.3484603601001495e-26,-0.07% ❤️🡇,9.1093837015e-30,-99.97% 🔴🡇,3.409835066243013e-26,1.76% 🟢🡅
Na,3.817540956980222e-26,3.850799145914165e-26,0.87% ❤️🡅,1.0020322071650001e-29,-99.97% 🔴🡇,3.924448793285602e-26,2.80% 🟡🡅
Mg,4.035940202766034e-26,4.01815243212018e-26,-0.44% ❤️🡇,1.0931260441800002e-29,-99.97% 🔴🡇,4.0918020794916163e-26,1.38% 🟢🡅
Al,4.480389877170523e-26,4.5204912179341954e-26,0.90% ❤️🡅,1.1842198811950001e-29,-99.97% 🔴🡇,4.606415806534204e-26,2.81% 🟡🡅
Si,4.663623970157749e-26,4.68784450414021e-26,0.52% ❤️🡅,1.27531371821e-29,-99.97% 🔴🡇,4.773769092740219e-26,2.36% 🟢🡅
P,5.1433141858344745e-26,5.190183289954226e-26,0.91% ❤️🡅,1.366407555225e-29,-99.97% 🔴🡇,5.288382819782807e-26,2.82% 🟡🡅
S,5.323688249359353e-26,5.35753657616024e-26,0.64% ❤️🡅,1.45750139224e-29,-99.97% 🔴🡇,5.455736105988821e-26,2.48% 🟢🡅
Cl,5.886610993131287e-26,5.859875361974255e-26,-0.45% ❤️🡇,1.5485952292550002e-29,-99.97% 🔴🡇,5.97034983303141e-26,1.42% 🟢🡅
Ar,6.633521465546083e-26,6.69719964739627e-26,0.96% ❤️🡅,1.6396890662700002e-29,-99.98% 🔴🡇,6.832224000910569e-26,3.00% 🟡🡅
K,6.492425461008321e-26,6.529567433994285e-26,0.57% ❤️🡅,1.730782903285e-29,-99.97% 🔴🡇,6.652316846280012e-26,2.46% 🟢🡅
Ca,6.655108473419344e-26,6.696920720200299e-26,0.63% ❤️🡅,1.8218767403e-29,-99.97% 🔴🡇,6.819670132486026e-26,2.47% 🟢🡅
Sc,7.464953376480028e-26,7.534245005622315e-26,0.93% ❤️🡅,1.9129705773150001e-29,-99.97% 🔴🡇,7.681544300365188e-26,2.90% 🟡🡅
Ti,7.948502352841052e-26,8.036583791436331e-26,1.11% 🟢🡅,2.0040644143300002e-29,-99.97% 🔴🡇,8.196158027407776e-26,3.12% 🟡🡅
V,8.45911811599701e-26,8.538922577250346e-26,0.94% ❤️🡅,2.0951582513450003e-29,-99.98% 🔴🡇,8.710771754450363e-26,2.97% 🟡🡅
Cr,8.634138933677134e-26,8.70627586345636e-26,0.84% ❤️🡅,2.1862520883600003e-29,-99.97% 🔴🡇,8.878125040656377e-26,2.83% 🟡🡅
Mn,9.122669527239679e-26,9.208614649270375e-26,0.94% ❤️🡅,2.277345925375e-29,-99.98% 🔴🡇,9.392738767698966e-26,2.96% 🟡🡅
Fe,9.273280420632346e-26,9.37596793547639e-26,1.11% 🟢🡅,2.3684397623900002e-29,-99.97% 🔴🡇,9.560092053904981e-26,3.09% 🟡🡅
Co,9.786054884575631e-26,9.878306721290405e-26,0.94% ❤️🡅,2.4595335994050002e-29,-99.97% 🔴🡇,1.0074705780947567e-25,2.95% 🟡🡅
Ni,9.746201946963458e-26,9.878167257692421e-26,1.35% 🟢🡅,2.55062743642e-29,-99.97% 🔴🡇,1.0068428846735296e-25,3.31% 🟡🡅
Cu,1.0552061556262928e-25,1.0715491543114434e-25,1.55% 🟢🡅,2.6417212734350004e-29,-99.97% 🔴🡇,1.0930303014614455e-25,3.58% 🟡🡅
Zn,1.0856604421182608e-25,1.088284482932045e-25,0.24% ❤️🡅,2.73281511045e-29,-99.97% 🔴🡇,1.1097656300820471e-25,2.22% 🟢🡅
Ga,1.1577776538056212e-25,1.1720169114742465e-25,1.23% 🟢🡅,2.8239089474650005e-29,-99.98% 🔴🡇,1.1959530468699632e-25,3.30% 🟡🡅
Ge,1.2060495244883648e-25,1.2222507900556479e-25,1.34% 🟢🡅,2.91500278448e-29,-99.98% 🔴🡇,1.2474144195742219e-25,3.43% 🟡🡅
As,1.2441090799079895e-25,1.2557353936566497e-25,0.93% ❤️🡅,3.006096621495e-29,-99.98% 🔴🡇,1.2815127702366522e-25,3.01% 🟡🡅
Se,1.3113443067378584e-25,1.322718547218451e-25,0.87% ❤️🡅,3.0971904585100004e-29,-99.98% 🔴🡇,1.3503371649827396e-25,2.97% 🟡🡅
Br,1.3268371362345906e-25,1.3394538758390526e-25,0.95% ❤️🡅,3.188284295525e-29,-99.98% 🔴🡇,1.367072493603341e-25,3.03% 🟡🡅
Kr,1.3914985275103401e-25,1.4064370294008542e-25,1.07% 🟢🡅,3.2793781325400005e-29,-99.98% 🔴🡇,1.4358968883494286e-25,3.19% 🟡🡅
Rb,1.4192295299321434e-25,1.4231723580214556e-25,0.28% ❤️🡅,3.370471969555e-29,-99.98% 🔴🡇,1.45263221697003e-25,2.35% 🟢🡅
Sr,1.4549643306577245e-25,1.4734062366028571e-25,1.27% 🟢🡅,3.46156580657e-29,-99.98% 🔴🡇,1.5040935896742888e-25,3.38% 🟡🡅
Y,1.4763188630615803e-25,1.4901415652234585e-25,0.94% ❤️🡅,3.5526596435850004e-29,-99.98% 🔴🡇,1.5208289182948902e-25,3.01% 🟡🡅
Zr,1.51481015863867e-25,1.52362616882446e-25,0.58% ❤️🡅,3.6437534806e-29,-99.98% 🔴🡇,1.5549272689573204e-25,2.65% 🟡🡅
Nb,1.542740425748534e-25,1.5571107724254617e-25,0.93% ❤️🡅,3.7348473176150005e-29,-99.98% 🔴🡇,1.5890256196197505e-25,3.00% 🟡🡅
Mo,1.593287234953306e-25,1.607344651006863e-25,0.88% ❤️🡅,3.8259411546300003e-29,-99.98% 🔴🡇,1.6404869923240091e-25,2.96% 🟡🡅
Tc,1.6273282858303698e-25,1.6408292546078644e-25,0.83% ❤️🡅,3.917034991645e-29,-99.98% 🔴🡇,1.6745853429864395e-25,2.90% 🟡🡅
Ru,1.6783068351926068e-25,1.6910631331892662e-25,0.76% ❤️🡅,4.0081288286600004e-29,-99.98% 🔴🡇,1.7260467156906983e-25,2.84% 🟡🡅
Rh,1.7088607540286058e-25,1.7245477367902674e-25,0.92% ❤️🡅,4.099222665675e-29,-99.98% 🔴🡇,1.7601450663531283e-25,3.00% 🟡🡅
Pd,1.7671456752864078e-25,1.7747816153716692e-25,0.43% ❤️🡅,4.1903165026900005e-29,-99.98% 🔴🡇,1.811606439057387e-25,2.52% 🟡🡅
Ag,1.7912234917604285e-25,1.8082662189726705e-25,0.95% ❤️🡅,4.2814103397050003e-29,-99.98% 🔴🡇,1.845704789719817e-25,3.04% 🟡🡅
Cd,1.866611965410121e-25,1.875249372534472e-25,0.46% ❤️🡅,4.3725041767200007e-29,-99.98% 🔴🡇,1.9145291844659046e-25,2.57% 🟡🡅
In,1.9066309569290108e-25,1.9254832511158736e-25,0.99% ❤️🡅,4.4635980137350004e-29,-99.98% 🔴🡇,1.9659905571701635e-25,3.11% 🟡🡅
Sn,1.9712259266420733e-25,1.9924664046776752e-25,1.08% 🟢🡅,4.55469185075e-29,-99.98% 🔴🡇,2.0348149519162508e-25,3.23% 🟡🡅
Sb,2.0218723681908758e-25,2.0427002832590765e-25,1.03% 🟢🡅,4.6457856877650006e-29,-99.98% 🔴🡇,2.0862763246205095e-25,3.19% 🟡🡅
Te,2.118847849713828e-25,2.143181986781678e-25,1.15% 🟢🡅,4.7368795247800003e-29,-99.98% 🔴🡇,2.189826763450254e-25,3.35% 🟡🡅
