file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.12a_1202.fseries,12a_1202\knot.12a_1202.fseries,.fseries,12a_1202,0.008261291848096708,10.002587015403595,10.002587015403595,13.178410360360743,58,1.0,55.0,5.415944803741996e-36,4.52552054375721e-06
knot.12a_1202z6.fseries,12a_1202\knot.12a_1202z6.fseries,.fseries,12a_1202z6,0.004601907174497045,10.714122257206979,10.714122257206979,-0.04834213591504272,82,-1.0,-79.0,-8.332645216357352e-36,-6.962692286747656e-06
knot.15331.fseries,15331\knot.15331.fseries,.fseries,knot.15331,0.012898717227691384,17.45028315481074,17.45028315481074,0.2807234201071763,182,1.0,179.0,3.0750679110721766e-35,2.56950236926171e-05
knot.3_1.fseries,3_1\knot.3_1.fseries,.fseries,3_1,0.010013305500616965,15.228351106382064,15.228351106382064,3.4165081832867594,3,1.0,0.0,0.0,0.0
knot.3_1p.fseries,3_1\knot.3_1p.fseries,.fseries,3_1p,0.006786976274329494,13.523055800586235,13.523055800586235,11.355151605737607,21,1.0,18.0,2.396329571830677e-36,2.0023539936078833e-06
knot.3_1u.fseries,3_1\knot.3_1u.fseries,.fseries,3_1u,0.021163567024857673,33.484434321875874,33.484434321875874,-0.006577568267717046,19,-1.0,-16.0,-5.2742674827849543e-36,-4.407136097495391e-06
knot.4_1.fseries,4_1\knot.4_1.fseries,.fseries,4_1,0.01173857217348309,18.330251802345636,18.330251802345636,8.838859071458632,58,1.0,55.0,9.924995588372847e-36,8.29324763443817e-06
knot.4_1d.fseries,4_1\knot.4_1d.fseries,.fseries,4_1d,0.00861033884677056,20.03062161241793,20.03062161241793,7.370721450097082,26,1.0,23.0,4.535461294381323e-36,3.7897955032623206e-06
knot.4_1p.fseries,4_1\knot.4_1p.fseries,.fseries,4_1p,0.009278523339195849,13.234779301753848,13.234779301753848,3.8880482197564072,53,1.0,50.0,6.51457232356019e-36,5.443524990080057e-06
knot.4_1z.fseries,4_1\knot.4_1z.fseries,.fseries,4_1z,0.01205754818836051,18.37734121693309,18.37734121693309,-0.032880003226170774,75,-1.0,-72.0,-1.302609908859518e-35,-1.0884505135599754e-05
knot.5_1.fseries,5_1\knot.5_1.fseries,.fseries,5_1,0.010638894325346869,16.247251551305755,16.247251551305755,6.688490652116578,5,1.0,2.0,3.198962154995078e-37,2.673027417327002e-07
knot.5_1p.fseries,5_1\knot.5_1p.fseries,.fseries,5_1p,0.009433649922705038,13.109307396256412,13.109307396256412,-7.9599262368238,31,-1.0,-28.0,-3.6135742312447554e-36,-3.0194739814539745e-06
knot.5_1u.fseries,5_1\knot.5_1u.fseries,.fseries,5_1u,0.028842268942269527,44.5375982566661,44.5375982566661,0.048410121295690646,27,1.0,24.0,1.0522943466287327e-35,8.792888141063782e-06
knot.5_2.fseries,5_2\knot.5_2.fseries,.fseries,5_2,0.010911325367884717,17.383486381850933,17.383486381850933,1.4864896159230803,67,1.0,64.0,1.0952570508420647e-35,9.151881091653794e-06
knot.5_2d.fseries,5_2\knot.5_2d.fseries,.fseries,5_2d,0.014677663513741387,26.051149302780328,26.051149302780328,18.261218340651748,98,1.0,95.0,2.436406195473472e-35,2.0358417026211995e-05
knot.5_2r.fseries,5_2\knot.5_2r.fseries,.fseries,5_2r,0.0071687734294924995,14.446871589944548,14.446871589944548,10.521435962230646,56,1.0,53.0,7.537874182607134e-36,6.298587911397543e-06
knot.6_1.fseries,6_1\knot.6_1.fseries,.fseries,6_1,0.0090170600089135,12.337633152839576,12.337633152839576,2.9943336622154684,35,1.0,32.0,3.8867001142700455e-36,3.247695804137391e-06
knot.6_2.fseries,6_2\knot.6_2.fseries,.fseries,6_2,0.008685925380118656,14.272094155814804,14.272094155814804,72.7463981954003,58,1.0,55.0,7.727688253315619e-36,6.4571950441533875e-06
knot.6_2d.fseries,6_2\knot.6_2d.fseries,.fseries,6_2d,0.0410451829183718,37.165301230060805,37.165301230060805,22.26815455220883,30,1.0,27.0,9.878718800346397e-36,8.254579117216925e-06
knot.6_2p.fseries,6_2\knot.6_2p.fseries,.fseries,6_2p,0.007980565960101424,16.364508405880848,16.364508405880848,-31.520620666248146,99,-1.0,-96.0,-1.546583592732405e-35,-1.2923129897321894e-05
knot.6_3d.fseries,6_3\knot.6_3d.fseries,.fseries,6_3d,0.0332189288588087,45.30930855881553,45.30930855881553,1.727006441211273,41,1.0,38.0,1.6950020715367933e-35,1.4163302940515357e-05
knot.6_3z.fseries,6_3\knot.6_3z.fseries,.fseries,6_3z,0.01882428228539113,31.479322552300935,31.479322552300935,-1.9944718946339517,28,-1.0,-25.0,-7.747553577885041e-36,-6.47379435188363e-06
knot.7_1.fseries,7_1\knot.7_1.fseries,.fseries,7_1,0.011486201001051518,17.601828815749535,17.601828815749535,9.042150901281348,7,1.0,4.0,6.931336547904839e-37,5.791769872094294e-07
knot.7_1p.fseries,7_1\knot.7_1p.fseries,.fseries,7_1p,0.0077381866915403165,11.593956040671216,11.593956040671216,-3.0386084055733846,42,-1.0,-39.0,-4.451388078971176e-36,-3.7195445909458833e-06
knot.7_2.fseries,7_2\knot.7_2.fseries,.fseries,7_2,0.011149647883016821,15.725450328151835,15.725450328151835,5.353028689676524,72,1.0,69.0,1.0681970736619486e-35,8.925770067483818e-06
knot.7_2d.fseries,7_2\knot.7_2d.fseries,.fseries,7_2d,0.04489741593978214,35.01748834473803,35.01748834473803,0.0009319880564550019,15,0.0,0.0,0.0,0.0
knot.7_2r.fseries,7_2\knot.7_2r.fseries,.fseries,7_2r,0.01292567876337777,15.307149566852507,15.307149566852507,9.997096133232807,88,1.0,85.0,1.2808918237338376e-35,1.0703030537964588e-05
knot.7_3.fseries,7_3\knot.7_3.fseries,.fseries,7_3,0.009807588271294089,15.202957884693909,15.202957884693909,-11.46682291273698,69,-1.0,-66.0,-9.878050224045257e-36,-8.254020460159751e-06
knot.7_3d.fseries,7_3\knot.7_3d.fseries,.fseries,7_3d,0.004204138563399099,8.358749811729862,8.358749811729862,8.715668470040788,60,1.0,57.0,4.690459432176648e-36,3.91931071847504e-06
knot.7_4.fseries,7_4\knot.7_4.fseries,.fseries,7_4,0.011740904433825422,14.550235671974715,14.550235671974715,-0.12054014166272568,57,-1.0,-54.0,-7.735047580668955e-36,-6.463344439749655e-06
knot.7_5.fseries,7_5\knot.7_5.fseries,.fseries,7_5,0.00842307596818717,16.39657252068707,16.39657252068707,9.124317632277391,73,1.0,70.0,1.1299268174612065e-35,9.441578913119385e-06
knot.7_5d.fseries,7_5\knot.7_5d.fseries,.fseries,7_5d,0.03662184253605752,42.0534412146818,42.0534412146818,0.6283531691168724,47,1.0,44.0,1.821601680248401e-35,1.5221159234878171e-05
knot.7_6d.fseries,7_6\knot.7_6d.fseries,.fseries,7_6d,0.007641285986776871,16.59756122643024,16.59756122643024,-1.5577338767540223,63,-1.0,-60.0,-9.803806519687369e-36,-8.191983009356318e-06
knot.7_6s.fseries,7_6\knot.7_6s.fseries,.fseries,7_6s,0.005211930310611225,11.927098932154104,11.927098932154104,3.295428681485193,78,1.0,75.0,8.80633671694232e-36,7.358505149504183e-06
knot.7_7d.fseries,7_7\knot.7_7d.fseries,.fseries,7_7d,0.018496303320593165,21.96245548031039,21.96245548031039,-1.1076648378184557,194,-1.0,-191.0,-4.129652072188935e-35,-3.4507045342020544e-05
knot.8_10s.fseries,8_10\knot.8_10s.fseries,.fseries,8_10s,0.007210862955771224,10.254433237280935,10.254433237280935,-10.07332376553309,38,-1.0,-35.0,-3.533286940929452e-36,-2.952386558134323e-06
knot.8_11.fseries,8_11\knot.8_11.fseries,.fseries,8_11,0.006920686090642031,12.008855823223005,12.008855823223005,-8.42322435967202,82,-1.0,-79.0,-9.339592420834479e-36,-7.804089388356157e-06
knot.8_11d.fseries,8_11\knot.8_11d.fseries,.fseries,8_11d,0.00880648834659213,12.331535490256435,12.331535490256435,0.19642454653093294,65,1.0,62.0,7.52675966069657e-36,6.289300704998109e-06
knot.8_12d.fseries,8_12\knot.8_12d.fseries,.fseries,8_12d,0.004933313813745915,11.855010137508827,11.855010137508827,-0.22152370253089051,53,-1.0,-50.0,-5.835406785144206e-36,-4.8760196501826e-06
knot.8_12z.fseries,8_12\knot.8_12z.fseries,.fseries,8_12z,0.019363452575701247,23.098184562497057,23.098184562497057,-0.47339614006182,10,-1.0,-7.0,-1.5917508454224327e-36,-1.330054388022025e-06
knot.8_13d.fseries,8_13\knot.8_13d.fseries,.fseries,8_13d,0.008702937288289227,15.137103157566582,15.137103157566582,4.759158271322686,123,1.0,120.0,1.7882293500928903e-35,1.494230268964997e-05
knot.8_13p.fseries,8_13\knot.8_13p.fseries,.fseries,8_13p,0.00837449404364747,12.632427581562647,12.632427581562647,-1.0863916072519382,77,-1.0,-74.0,-9.202752430873922e-36,-7.68974697752764e-06
knot.8_14d.fseries,8_14\knot.8_14d.fseries,.fseries,8_14d,0.023387802930306005,26.516629322895703,26.516629322895703,-1.8798309456118587,239,-1.0,-236.0,-6.160692362560698e-35,-5.1478257000096156e-05
knot.8_14r.fseries,8_14\knot.8_14r.fseries,.fseries,8_14r,0.007665875717545376,12.5454200868776,12.5454200868776,2.593947027020372,60,1.0,57.0,7.03978289845902e-36,5.882386782921995e-06
knot.8_15.fseries,8_15\knot.8_15.fseries,.fseries,8_15,0.008879859890654566,12.807385456090348,12.807385456090348,-17.672677215122224,64,-1.0,-61.0,-7.691118759977767e-36,-6.426637865420528e-06
knot.8_15d.fseries,8_15\knot.8_15d.fseries,.fseries,8_15d,0.03527374252164879,45.450092043257364,45.450092043257364,13.673201704599883,68,1.0,65.0,2.9083543931536497e-35,2.4301978752903072e-05
knot.8_15p.fseries,8_15\knot.8_15p.fseries,.fseries,8_15p,0.006962941129072744,13.153886922707429,13.153886922707429,-0.04526100831506332,61,-1.0,-58.0,-7.510715294796273e-36,-6.275894160041597e-06
knot.8_16.fseries,8_16\knot.8_16.fseries,.fseries,8_16,0.01032254282148596,12.652230295150073,12.652230295150073,-30.925525690685298,60,-1.0,-57.0,-7.099718769268472e-36,-5.932468721435981e-06
knot.8_17.fseries,8_17\knot.8_17.fseries,.fseries,8_17,0.008997422150430588,13.87317938223813,13.87317938223813,-11.62873680430146,77,-1.0,-74.0,-1.0106642959915453e-35,-8.445030738111529e-06
knot.8_18.fseries,8_18\knot.8_18.fseries,.fseries,8_18,0.009712928703997878,12.605303041619127,12.605303041619127,0.39113051729912063,104,1.0,101.0,1.2533543328112816e-35,1.047292944681711e-05
knot.8_18z.fseries,8_18\knot.8_18z.fseries,.fseries,8_18z,0.007804946342844922,10.253405734642278,10.253405734642278,5.117078162206863,4,1.0,1.0,1.0094094007639732e-37,8.434544933070242e-08
knot.8_19t.fseries,8_19\knot.8_19t.fseries,.fseries,8_19t,0.028136823962993336,41.77637275945651,41.77637275945651,-0.40448816258981213,43,-1.0,-40.0,-1.645090986724191e-35,-1.3746249872462338e-05
knot.8_19u.fseries,8_19\knot.8_19u.fseries,.fseries,8_19u,0.023620794813082255,37.6032114008954,37.6032114008954,0.06345583645309807,18,1.0,15.0,5.552843036153842e-36,4.639911621516313e-06
knot.8_1.fseries,8_1\knot.8_1.fseries,.fseries,8_1,0.00840691897471502,12.357950466036925,12.357950466036925,-5.292384042880969,56,-1.0,-53.0,-6.447947930312787e-36,-5.387854175239373e-06
knot.8_1d.fseries,8_1\knot.8_1d.fseries,.fseries,8_1d,0.005102296240032651,11.535997717699349,11.535997717699349,11.54102130348613,28,1.0,25.0,2.8391894470963594e-36,2.372404194661608e-06
knot.8_20r.fseries,8_20\knot.8_20r.fseries,.fseries,8_20r,0.008121396686686997,11.875646774079092,11.875646774079092,-4.129080901868009,54,-1.0,-51.0,-5.9624760787896993e-36,-4.982197744626267e-06
knot.8_21d.fseries,8_21\knot.8_21d.fseries,.fseries,8_21d,0.02686159420819546,28.791670574960676,28.791670574960676,-3.710223328647935,15,-1.0,-12.0,-3.401318589456409e-36,-2.8421148498066475e-06
knot.8_21p.fseries,8_21\knot.8_21p.fseries,.fseries,8_21p,0.0064280184372655395,12.324043727791606,12.324043727791606,5.355010021293174,67,1.0,64.0,7.764838129273157e-36,6.488237186002343e-06
knot.8_21r.fseries,8_21\knot.8_21r.fseries,.fseries,8_21r,0.010585802431321612,13.274001039272838,13.274001039272838,-7.184119481098614,62,-1.0,-59.0,-7.709976617640915e-36,-6.4423953417904624e-06
knot.8_2.fseries,8_2\knot.8_2.fseries,.fseries,8_2,0.005916124651442733,12.382753981227136,12.382753981227136,-19.292060919657704,58,-1.0,-55.0,-6.704696692702216e-36,-5.602391405747115e-06
knot.8_2d.fseries,8_2\knot.8_2d.fseries,.fseries,8_2d,0.017386266239604153,25.391293639157787,25.391293639157787,16.896005235745378,152,1.0,149.0,3.724519894047635e-35,3.112179297783693e-05
knot.8_3.fseries,8_3\knot.8_3.fseries,.fseries,8_3,0.009644775448711524,8.75701491704957,8.75701491704957,9.474874755435438,39,1.0,36.0,3.103543180791807e-36,2.593296078905165e-06
knot.8_3d.fseries,8_3\knot.8_3d.fseries,.fseries,8_3d,0.02935523720238866,35.17981791045443,35.17981791045443,-76.765921846747,544,-1.0,-541.0,-1.8736568463916418e-34,-0.0001565612807656054
knot.8_3z.fseries,8_3\knot.8_3z.fseries,.fseries,8_3z,0.009958785054556036,21.905716640577438,21.905716640577438,0.00033367479341333514,11,0.0,0.0,0.0,0.0
knot.8_4.fseries,8_4\knot.8_4.fseries,.fseries,8_4,0.012162569908655226,16.874271648481997,16.874271648481997,-7.859248156225409,145,-1.0,-142.0,-2.358916578632406e-35,-1.9710919930784018e-05
knot.8_4d.fseries,8_4\knot.8_4d.fseries,.fseries,8_4d,0.017040714815771543,20.36530929422957,20.36530929422957,28.716205888458045,191,1.0,188.0,3.769190271425795e-35,3.149505511001851e-05
knot.8_5.fseries,8_5\knot.8_5.fseries,.fseries,8_5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
knot.8_6.fseries,8_6\knot.8_6.fseries,.fseries,8_6,0.008285218930251,11.768669363895826,11.768669363895826,4.67775373607299,44,1.0,41.0,4.7501838677933526e-36,3.969215983418094e-06
knot.8_6p.fseries,8_6\knot.8_6p.fseries,.fseries,8_6p,0.007221589191069485,11.564060060365698,11.564060060365698,4.256517174460405,61,1.0,58.0,6.602942786089753e-36,5.51736664802357e-06
knot.8_7d.fseries,8_7\knot.8_7d.fseries,.fseries,8_7d,0.011870013774582761,14.110745271924282,14.110745271924282,2.722573525856755,49,1.0,46.0,6.390090158361435e-36,5.3395086796573375e-06
knot.8_7s.fseries,8_7\knot.8_7s.fseries,.fseries,8_7s,0.008659116403614128,10.74382267721432,10.74382267721432,31.4272232350257,49,1.0,46.0,4.8653699170267345e-36,4.0654645330339875e-06
knot.8_8d.fseries,8_8\knot.8_8d.fseries,.fseries,8_8d,0.015861531580612178,19.155837004970756,19.155837004970756,10.164471306350313,105,1.0,102.0,1.923536832716038e-35,1.6072921288111407e-05
knot.8_9d.fseries,8_9\knot.8_9d.fseries,.fseries,8_9d,0.00616746693889839,11.583590894520611,11.583590894520611,-1.1380461229953034,97,-1.0,-94.0,-1.0719394799511987e-35,-8.957041317762043e-06
knot.12a_1202.short,12a_1202\knot.12a_1202.short,.short,12a_1202,0.057224813529629735,85.80850666400451,85.80850666400451,-0.3761452731401542,12,-1.0,-9.0,-7.602773554504956e-36,-6.352817312073415e-06
knot.12a_1202z6.short,12a_1202\knot.12a_1202z6.short,.short,12a_1202z6,0.04594228295803787,68.89142864995137,68.89142864995137,-0.010574652992561228,16,-1.0,-13.0,-8.816734143201422e-36,-7.367193156461945e-06
knot.15331.short,15331\knot.15331.short,.short,knot.15331,0.04622828855754382,69.32851702616603,69.32851702616603,-0.0722448825669532,14,-1.0,-11.0,-7.507646191145923e-36,-6.273329641361315e-06
knot.3_1.short,3_1\knot.3_1.short,.short,3_1,0.011399333534271123,17.090153119495646,17.090153119495646,3.3883616520638027,4,1.0,1.0,1.6824615806463549e-37,1.405851559276715e-07
knot.3_1p.short,3_1\knot.3_1p.short,.short,3_1p,0.012895046634361924,19.33915305080042,19.33915305080042,3.6037539251196065,3,1.0,0.0,0.0,0.0
knot.3_1u.short,3_1\knot.3_1u.short,.short,3_1u,0.014788980621441683,22.17217922660913,22.17217922660913,3.87416060234017,5,1.0,2.0,4.365536042555476e-37,3.647807309898594e-07
