file,relative_path,knot_id,harmonics_N,closure_error,length_series_units,scale_m_per_unit,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,type_meta,chiral_meta
knot.12a_1202.fseries,Darkknot\knot.12a_1202.fseries,12a_1202,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.12a_1202z6.fseries,Darkknot\knot.12a_1202z6.fseries,12a_1202z6,20,0.002088487358506671,4.6251089934437895,1.0,4.6251089934437895,-3.6669008356133674,251,-1.0,writhe_fallback,-248.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-1.1292051610501818e-35,-9.435548809357306e-06,,
knot.6_3d.fseries,Darkknot\knot.6_3d.fseries,6_3d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.8_12d.fseries,Darkknot\knot.8_12d.fseries,8_12d,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.8_12z.fseries,Darkknot\knot.8_12z.fseries,8_12z,10,0.0031922648031473076,4.688568407913457,1.0,4.688568407913457,-0.04285308915449631,10,-1.0,writhe_fallback,-7.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-3.2310040241146787e-37,-2.6998013491552853e-07,,
knot.8_18.fseries,Darkknot\knot.8_18.fseries,8_18,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.8_18z.fseries,Darkknot\knot.8_18z.fseries,8_18z,20,0.0030186367953477966,3.8192300990083474,1.0,3.8192300990083474,0.0034073787913083734,8,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.8_3d.fseries,Darkknot\knot.8_3d.fseries,8_3d,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.8_3z.fseries,Darkknot\knot.8_3z.fseries,8_3z,10,0.003047640369367826,4.588847033720216,1.0,4.588847033720216,0.001806108983290734,7,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.8_9d.fseries,Darkknot\knot.8_9d.fseries,8_9d,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.15331.fseries,knot.15331.fseries,knot.15331,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.3_1.fseries,knot.3_1.fseries,3_1,20,0.0369552078533236,45.817752455752654,1.0,45.817752455752654,-3.7608597967887247,24,-1.0,writhe_fallback,-21.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-9.472230946480384e-36,-7.914921088909949e-06,,
knot.3_1p.fseries,knot.3_1p.fseries,3_1p,10,0.0021028749137397365,3.149190256354211,1.0,3.149190256354211,0.01068537304790169,1,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.3_1u.fseries,knot.3_1u.fseries,3_1u,5,0.007899377948615281,11.440250455068934,1.0,11.440250455068934,-0.0012189594779743614,1,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.4_1.fseries,knot.4_1.fseries,4_1,42,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1d.fseries,knot.4_1d.fseries,4_1d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1p.fseries,knot.4_1p.fseries,4_1p,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1z.fseries,knot.4_1z.fseries,4_1z,10,0.0036820247124088917,4.05031074957196,1.0,4.05031074957196,-0.0025458784896118546,1,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1.fseries,knot.5_1.fseries,5_1,24,0.041476145086166136,68.3730434231262,1.0,68.3730434231262,-3.8931416535218704,76,-1.0,writhe_fallback,-73.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-4.913681174888666e-35,-4.105833037121744e-05,,
knot.5_1p.fseries,knot.5_1p.fseries,5_1p,10,0.0022715866762565203,3.8407927175301886,1.0,3.8407927175301886,0.04083257376708147,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1u.fseries,knot.5_1u.fseries,5_1u,7,0.014791082007003105,21.993559427779164,1.0,21.993559427779164,0.01670604730594412,4,1.0,writhe_fallback,1.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,2.165183570923611e-37,1.8092102276319988e-07,,
knot.5_2.fseries,knot.5_2.fseries,5_2,10,0.003406518599631869,3.987834223537823,1.0,3.987834223537823,0.00525810486055527,1,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_2d.fseries,knot.5_2d.fseries,5_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.5_2r.fseries,knot.5_2r.fseries,5_2r,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_2.fseries,knot.6_2.fseries,6_2,32,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_2d.fseries,knot.6_2d.fseries,6_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_2p.fseries,knot.6_2p.fseries,6_2p,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_3z.fseries,knot.6_3z.fseries,6_3z,10,0.003100992260359057,4.653239673936681,1.0,4.653239673936681,0.0034664426295365606,3,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.7_1.fseries,knot.7_1.fseries,7_1,9,0.008035641377635518,12.246165733962437,1.0,12.246165733962437,0.00653876633980614,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.7_1p.fseries,knot.7_1p.fseries,7_1p,20,0.0031829832727993715,3.4664402239384,1.0,3.4664402239384,-4.717363198015535,7,-1.0,writhe_fallback,-4.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-1.3650322399348097e-37,-1.1406101185609839e-07,,
knot.7_2.fseries,knot.7_2.fseries,7_2,10,0.0017718428394581194,3.9887219836010286,1.0,3.9887219836010286,-0.00026167538725067576,3,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.7_2d.fseries,knot.7_2d.fseries,7_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.7_2r.fseries,knot.7_2r.fseries,7_2r,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.7_3.fseries,knot.7_3.fseries,7_3,10,0.002040182592243483,4.006018324091057,1.0,4.006018324091057,-0.6666770862846073,1,-1.0,writhe_fallback,-0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,,
knot.7_3d.fseries,knot.7_3d.fseries,7_3d,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.7_4.fseries,knot.7_4.fseries,7_4,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.7_5.fseries,knot.7_5.fseries,7_5,10,0.0036292197383291772,4.060370952704017,1.0,4.060370952704017,1.028725727577137,2,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
