file,relative_path,knot_id,harmonics_N,closure_error,length_series_units,scale_m_per_unit,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,type_meta,chiral_meta
knot.12a_1202.fseries,knots\12a_1202\knot.12a_1202.fseries,12a_1202,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.12a_1202z6.fseries,knots\12a_1202\knot.12a_1202z6.fseries,12a_1202z6,20,0.002088487358506671,4.6251089934437895,1.0,4.6251089934437895,-3.6669008356133674,251,-1.0,writhe_fallback,-248.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-1.1292051610501818e-35,-9.435548809357306e-06,,
knot.15331.fseries,knots\15331\knot.15331.fseries,knot.15331,21,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.3_1.fseries,knots\3_1\knot.3_1.fseries,3_1,5,0.005562643223971218,8.719919642979043,1.0,8.719919642979043,0.0013040433920560055,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.3_1p.fseries,knots\3_1\knot.3_1p.fseries,3_1p,10,0.0021028749137397365,3.149190256354211,1.0,3.149190256354211,0.010685373047901731,1,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.3_1u.fseries,knots\3_1\knot.3_1u.fseries,3_1u,5,0.007899377948615281,11.440250455068934,1.0,11.440250455068934,-0.0012189594779743662,1,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.4_1.fseries,knots\4_1\knot.4_1.fseries,4_1,10,0.002661137070911224,3.824577994233626,1.0,3.824577994233626,-0.5015992618226105,1,-1.0,writhe_fallback,-0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,,
knot.4_1d.fseries,knots\4_1\knot.4_1d.fseries,4_1d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1p.fseries,knots\4_1\knot.4_1p.fseries,4_1p,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1z.fseries,knots\4_1\knot.4_1z.fseries,4_1z,10,0.0036820247124088917,4.05031074957196,1.0,4.05031074957196,-0.002545878489611868,1,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
