latitude_deg,height_m,lab_size_m,R_eff_m,delta_Omega_p_rad_s,Foucault_Omega_p_rad_s,Foucault_period_hours,v_surface_m_s,v_lab_m_s,frac_GR_height,frac_rot_kin,frac_VAM_swirl,frac_TOTAL,ns_day_GR_height,ns_day_rot_kin,ns_day_VAM_swirl,ns_day_TOTAL
53.219,0,5.0,2.5,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014601183632605158,0.0,-4.314455655267603e-13,-1.1860547149931166e-25,-4.314455655268789e-13,0.0,-37.27689686151209,-1.0247512737540528e-11,-37.27689686152234
53.219,0,5.0,2.5,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014626183632605159,0.0,-4.314455655267603e-13,-1.1901196939713587e-25,-4.314455655268793e-13,0.0,-37.27689686151209,-1.028263415591254e-11,-37.27689686152237
53.219,0,5.0,2.5,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014726183632605158,0.0,-4.314455655267603e-13,-1.20644915051283e-25,-4.3144556552688096e-13,0.0,-37.27689686151209,-1.0423720660430851e-11,-37.276896861522516
53.219,0,5.0,2.5,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014851183632605156,0.0,-4.314455655267603e-13,-1.2270174376038012e-25,-4.31445565526883e-13,0.0,-37.27689686151209,-1.0601430660896842e-11,-37.27689686152269
53.219,0,10.0,5.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029202367265210316,0.0,-4.314455655267603e-13,-4.744218859972466e-25,-4.314455655272347e-13,0.0,-37.27689686151209,-4.099005095016211e-11,-37.276896861553084
53.219,0,10.0,5.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029252367265210317,0.0,-4.314455655267603e-13,-4.760478775885435e-25,-4.3144556552723634e-13,0.0,-37.27689686151209,-4.113053662365016e-11,-37.27689686155322
53.219,0,10.0,5.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029452367265210317,0.0,-4.314455655267603e-13,-4.82579660205132e-25,-4.3144556552724285e-13,0.0,-37.27689686151209,-4.1694882641723405e-11,-37.27689686155378
53.219,0,10.0,5.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0002970236726521031,0.0,-4.314455655267603e-13,-4.908069750415205e-25,-4.314455655272511e-13,0.0,-37.27689686151209,-4.240572264358737e-11,-37.27689686155449
53.219,0,20.0,10.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005840473453042063,0.0,-4.314455655267603e-13,-1.8976875439889866e-24,-4.31445565528658e-13,0.0,-37.27689686151209,-1.6396020380064845e-10,-37.27689686167605
53.219,0,20.0,10.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005850473453042063,0.0,-4.314455655267603e-13,-1.904191510354174e-24,-4.3144556552866447e-13,0.0,-37.27689686151209,-1.6452214649460063e-10,-37.27689686167661
53.219,0,20.0,10.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005890473453042063,0.0,-4.314455655267603e-13,-1.930318640820528e-24,-4.314455655286906e-13,0.0,-37.27689686151209,-1.6677953056689362e-10,-37.27689686167887
53.219,0,20.0,10.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005940473453042062,0.0,-4.314455655267603e-13,-1.963227900166082e-24,-4.3144556552872354e-13,0.0,-37.27689686151209,-1.6962289057434948e-10,-37.27689686168171
53.219,50,5.0,2.5,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014601183632605158,5.455684836099108e-15,-4.314455655267603e-13,-1.1860547149931166e-25,-4.259898806907798e-13,0.471371169838963,-37.27689686151209,-1.0247512737540528e-11,-36.80552569168338
53.219,50,5.0,2.5,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014626183632605159,5.455684836099108e-15,-4.314455655267603e-13,-1.1901196939713587e-25,-4.259898806907802e-13,0.471371169838963,-37.27689686151209,-1.028263415591254e-11,-36.80552569168341
53.219,50,5.0,2.5,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014726183632605158,5.455684836099108e-15,-4.314455655267603e-13,-1.20644915051283e-25,-4.2598988069078185e-13,0.471371169838963,-37.27689686151209,-1.0423720660430851e-11,-36.805525691683556
53.219,50,5.0,2.5,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014851183632605156,5.455684836099108e-15,-4.314455655267603e-13,-1.2270174376038012e-25,-4.2598988069078387e-13,0.471371169838963,-37.27689686151209,-1.0601430660896842e-11,-36.80552569168373
53.219,50,10.0,5.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029202367265210316,5.455684836099108e-15,-4.314455655267603e-13,-4.744218859972466e-25,-4.259898806911356e-13,0.471371169838963,-37.27689686151209,-4.099005095016211e-11,-36.805525691714124
53.219,50,10.0,5.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029252367265210317,5.455684836099108e-15,-4.314455655267603e-13,-4.760478775885435e-25,-4.2598988069113723e-13,0.471371169838963,-37.27689686151209,-4.113053662365016e-11,-36.80552569171426
53.219,50,10.0,5.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029452367265210317,5.455684836099108e-15,-4.314455655267603e-13,-4.82579660205132e-25,-4.2598988069114374e-13,0.471371169838963,-37.27689686151209,-4.1694882641723405e-11,-36.80552569171482
53.219,50,10.0,5.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0002970236726521031,5.455684836099108e-15,-4.314455655267603e-13,-4.908069750415205e-25,-4.2598988069115197e-13,0.471371169838963,-37.27689686151209,-4.240572264358737e-11,-36.80552569171553
53.219,50,20.0,10.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005840473453042063,5.455684836099108e-15,-4.314455655267603e-13,-1.8976875439889866e-24,-4.259898806925589e-13,0.471371169838963,-37.27689686151209,-1.6396020380064845e-10,-36.80552569183708
53.219,50,20.0,10.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005850473453042063,5.455684836099108e-15,-4.314455655267603e-13,-1.904191510354174e-24,-4.2598988069256536e-13,0.471371169838963,-37.27689686151209,-1.6452214649460063e-10,-36.80552569183765
53.219,50,20.0,10.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005890473453042063,5.455684836099108e-15,-4.314455655267603e-13,-1.930318640820528e-24,-4.259898806925915e-13,0.471371169838963,-37.27689686151209,-1.6677953056689362e-10,-36.805525691839904
53.219,50,20.0,10.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005940473453042062,5.455684836099108e-15,-4.314455655267603e-13,-1.963227900166082e-24,-4.2598988069262443e-13,0.471371169838963,-37.27689686151209,-1.6962289057434948e-10,-36.80552569184275
53.219,100,5.0,2.5,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014601183632605158,1.0911369672198217e-14,-4.314455655267603e-13,-1.1860547149931166e-25,-4.2053419585468067e-13,0.942742339677926,-37.27689686151209,-1.0247512737540528e-11,-36.33415452184441
53.219,100,5.0,2.5,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014626183632605159,1.0911369672198217e-14,-4.314455655267603e-13,-1.1901196939713587e-25,-4.2053419585468107e-13,0.942742339677926,-37.27689686151209,-1.028263415591254e-11,-36.33415452184444
