file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.12a_1202.fseries,12a_1202\knot.12a_1202.fseries,.fseries,12a_1202,0.020649948930313754,9.999177961096798,9.999177961096798,12.388246626264236,64,1.0,61.0,6.0047279333173294e-36,5.01750305932307e-06
knot.12a_1202z6.fseries,12a_1202\knot.12a_1202z6.fseries,.fseries,12a_1202z6,0.01169582160031606,10.710379978815167,10.710379978815167,2.859910051767706,90,1.0,87.0,9.173252194501485e-36,7.665096813874399e-06
knot.15331.fseries,15331\knot.15331.fseries,.fseries,knot.15331,0.032638508768169414,17.439715788545385,17.439715788545385,-1.7521575582377615,184,-1.0,-181.0,-3.1075432368272524e-35,-2.596638494018421e-05
knot.3_1.fseries,3_1\knot.3_1.fseries,.fseries,3_1,0.024960155333832536,15.227879172907144,15.227879172907144,3.417792058876445,3,1.0,0.0,0.0,0.0
knot.3_1p.fseries,3_1\knot.3_1p.fseries,.fseries,3_1p,0.016964704586018283,13.520886609876577,13.520886609876577,0.46034727609800147,27,1.0,24.0,3.194593578887408e-36,2.669377069762793e-06
knot.3_1u.fseries,3_1\knot.3_1u.fseries,.fseries,3_1u,0.05272959888761936,33.47978152515558,33.47978152515558,-0.0692346031915758,19,-1.0,-16.0,-5.273534602121361e-36,-4.4065237082227156e-06
knot.4_1.fseries,4_1\knot.4_1.fseries,.fseries,4_1,0.029356406821127744,18.326191266982153,18.326191266982153,10.538940960524927,62,1.0,59.0,1.0644454956784287e-35,8.894422179255349e-06
knot.4_1d.fseries,4_1\knot.4_1d.fseries,.fseries,4_1d,0.021506251117668608,20.024363713229633,20.024363713229633,6.22299489098365,26,1.0,23.0,4.5340443408737455e-36,3.7886115081441174e-06
knot.4_1p.fseries,4_1\knot.4_1p.fseries,.fseries,4_1p,0.023157290329964202,13.232459336243004,13.232459336243004,0.6615312134024938,53,1.0,50.0,6.513430363972957e-36,5.442570777701712e-06
knot.4_1z.fseries,4_1\knot.4_1z.fseries,.fseries,4_1z,0.03035306349376051,18.373176717954784,18.373176717954784,0.33846506585107616,78,1.0,75.0,1.3565778372308085e-35,1.133545686682779e-05
knot.5_1.fseries,5_1\knot.5_1.fseries,.fseries,5_1,0.026454271168825993,16.245779376552907,16.245779376552907,6.68509984990221,5,1.0,2.0,3.1986722948113396e-37,2.6727852124553016e-07
knot.5_1p.fseries,5_1\knot.5_1p.fseries,.fseries,5_1p,0.023571563923520007,13.106402935838275,13.106402935838275,-8.347051628036413,31,-1.0,-28.0,-3.6127736181379445e-36,-3.0188049954886874e-06
knot.5_1u.fseries,5_1\knot.5_1u.fseries,.fseries,5_1u,0.07185880760178216,44.52682960501828,44.52682960501828,-0.10609537205968525,25,-1.0,-22.0,-9.643699217213902e-36,-8.05819861664083e-06
knot.5_2.fseries,5_2\knot.5_2.fseries,.fseries,5_2,0.027539762790673425,17.37939296613711,17.37939296613711,2.5089567044923924,70,1.0,67.0,1.1463272275292842e-35,9.578619439525503e-06
knot.5_2d.fseries,5_2\knot.5_2d.fseries,.fseries,5_2d,0.03662037445168847,26.033767388090105,26.033767388090105,11.469795837043087,120,1.0,117.0,2.9986244918178195e-35,2.505626854128761e-05
knot.5_2r.fseries,5_2\knot.5_2r.fseries,.fseries,5_2r,0.017946792295345126,14.444387545639636,14.444387545639636,9.783281637831582,56,1.0,53.0,7.536578094847381e-36,6.2975049107400735e-06
knot.6_1.fseries,6_1\knot.6_1.fseries,.fseries,6_1,0.022533575861024314,12.335771887035623,12.335771887035623,2.6677934872860107,35,1.0,32.0,3.8861137633935605e-36,3.2472058539932266e-06
knot.6_2.fseries,6_2\knot.6_2.fseries,.fseries,6_2,0.02171027947467975,14.269367581391386,14.269367581391386,2.221323136430106,58,1.0,55.0,7.72621193758272e-36,6.4559614464302925e-06
knot.6_2d.fseries,6_2\knot.6_2d.fseries,.fseries,6_2d,0.10258194024084545,37.16058544363926,37.16058544363926,20.4586161892086,33,1.0,30.0,1.09749614680622e-35,9.170590800028644e-06
